Type	Rank	Freq	Range	NormFreq	NormRange
ridicule and	1	3	2	1.186	0.667
ridicule in	2	2	1	0.790	0.333
ridicule is	2	2	1	0.790	0.333
ridicule a	4	1	1	0.395	0.333
ridicule antirrhinum	4	1	1	0.395	0.333
ridicule astronomicals	4	1	1	0.395	0.333
ridicule by	4	1	1	0.395	0.333
ridicule farcin	4	1	1	0.395	0.333
ridicule grotska	4	1	1	0.395	0.333
ridicule of	4	1	1	0.395	0.333
ridicule produ	4	1	1	0.395	0.333
ridicule the	4	1	1	0.395	0.333
ridicule without	4	1	1	0.395	0.333
